brand,phone_name,condition1,condition2,oldprice,newprice,release,ram,rom
,OPPO A57,Cũ Đẹp,,2.890.000đ,4.990.000đ,,4 GB,128 GB
,TECNO POVA 5,Đã Kích Hoạt,,3.790.000đ,5.290.000đ,,8 GB,256 GB
,iPhone 13,Cũ Trầy Xước,,13.890.000đ,33.990.000đ,,4 GB,512 GB
,OPPO Reno10,Đã Kích Hoạt,,7.190.000đ,10.990.000đ,,8 GB,256 GB
,Samsung Galaxy Z Flip5,Cũ Trầy Xước,,10.690.000đ,25.990.000đ,,8 GB,256 GB
,iPhone 15 Plus,Cũ Xước Cấn,,17.390.000đ,25.990.000đ,,,128 GB
,Vivo V25 Pro,Cũ Đẹp,,5.290.000đ,13.990.000đ,,8GB + Mở rộng 8GB,128 GB
,iPhone X,Cũ trầy xước,,5.390.000đ,22.000.000đ,,,256 GB
,iPhone SE 2020,Cũ đẹp,,5.590.000đ,11.990.000đ,,3 GB,128 GB
,Samsung Galaxy Tab S6 Lite,Cũ trầy xước,,4.490.000đ,9.990.000đ,,4 GB,64 GB
,iPhone 14 Pro,Cũ Xước Cấn,,17.390.000đ,27.990.000đ,,,128 GB
,iPhone 12 Pro Max,Cũ Trầy Xước,,15.790.000đ,37.990.000đ,,6 GB,512 GB
,Samsung Galaxy Z Flip4,Cũ Xước Cấn,,6.590.000đ,23.990.000đ,,8 GB,128 GB
,Samsung Galaxy S21 FE,Cũ đẹp,,7.590.000đ,11.490.000đ,,8 GB,256 GB
,Nubia Neo,Cũ Đẹp,,3.090.000đ,4.990.000đ,,8 GB,256 GB
,OnePlus Nord 3,Cũ Đẹp,,7.890.000đ,12.490.000đ,,16 GB,256 GB
,OPPO Reno8 T,Cũ Đẹp,,4.790.000đ,,,8 GB,256 GB
,Samsung Galaxy S24 Ultra,Cũ Đẹp,,24.090.000đ,37.490.000đ,,12 GB,512 GB
,OPPO Find N3,Cũ Xước Cấn,,28.290.000đ,44.990.000đ,,16 GB,512 GB
,OPPO A96,Cũ Đẹp,,3.190.000đ,6.990.000đ,,8 GB,128 GB
,OPPO A17K,Cũ Đẹp,,1.990.000đ,3.290.000đ,,3 GB,64 GB
,iPhone 13 Pro Max,Cũ đẹp,,20.890.000đ,35.990.000đ,,6 GB,1 TB
,Samsung Galaxy Z Fold5,Cũ Xước Cấn,,20.790.000đ,44.990.000đ,,12 GB,512 GB
,Samsung Galaxy S21,Cũ đẹp,,6.390.000đ,,,8 GB,128 GB
,Vivo V23e,Cũ trầy xước,,3.190.000đ,8.490.000đ,,8 GB,128 GB
,TECNO SPARK 20,Đã Kích Hoạt,,2.590.000đ,3.490.000đ,,8GB + Mở rộng 8GB,128 GB
,OPPO Reno11,Đã Kích Hoạt,,8.090.000đ,9.050.000đ,,8 GB,256 GB
,Nokia C20,Cũ đẹp,,890.000đ,2.490.000đ,,2 GB,32 GB
,realme 11 Pro,Cũ Đẹp,,6.590.000đ,11.990.000đ,,8 GB,256 GB
,vivo V29E,Đã Kích Hoạt,,5.990.000đ,8.990.000đ,,8 GB,256 GB
,Samsung Galaxy Z Flip4,Cũ Trầy Xước,,7.190.000đ,23.990.000đ,,8 GB,128 GB
,Samsung Galaxy A54,Cũ Đẹp,,5.540.000đ,10.490.000đ,,8 GB,128 GB
,iPhone 13 Pro,Cũ Đẹp,,19.590.000đ,30.990.000đ,,6 GB,1 TB
,Xiaomi Redmi Note 13,Đã Kích Hoạt,,4.490.000đ,,,8 GB,256 GB
,Samsung Galaxy M35,Đã Kích Hoạt,,6.690.000đ,8.490.000đ,,8 GB,256 MB
,OPPO Find N2 Flip,Cũ Trầy Xước,,8.990.000đ,19.990.000đ,,8 GB,256 GB
,OPPO Reno10 Pro Plus,Cũ Đẹp,,10.790.000đ,19.990.000đ,,12 GB,256 GB
,realme C67,Đã Kích Hoạt,,3.390.000đ,,,8 GB,128 GB
,iPhone 15 Pro Max,Cũ Đẹp,,34.490.000đ,46.990.000đ,,,1 TB
,OPPO A58,Cũ Đẹp,,3.490.000đ,,,8 GB,128 GB
,OPPO Reno10,Cũ Trầy Xước,,5.990.000đ,10.990.000đ,,8 GB,256 GB
